,Job Position,Question,Answer,Answer Rating,Interview Phases,Skill Assessed
15,customer service representative,where do you see yourself five years down the line,i would like to take on additional roles and responsibilities as i grow with the business i would love to explore options within the company and branch out into sales somewhere in the future,Average,General,Career Goals
16,customer service representative,where do you see yourself in five years,i am looking to progress to a managerial role over the next five years and advance my leadership skills i am also looking to take on more responsibilities as i grow in my role i love helping my colleagues find solutions to problems and in turn assisting customers this is how i would use my position to advance my career goals and add value to your organisation,Good,General,Career Goals
17,customer service representative,what are you hoping to do in five years,i hope to progress from customer service assistant to manager within this company in five years i enjoy the responsibilities and team environment involved with working in customer service which is why i believe this position is a great fit for me and my career ambitions,Good,General,Career Goals
18,customer service representative,what are you hoping to do in five years,i would love to work as a manager in this company in the next five years i think working in customer service is absolutely vital since i will get such a great feel for what customers need and want i enjoy the responsibilities of working as a customer service representative so i think this position is a great fit for me and my career ambitions,Good,General,Career Goals
19,Customer Service Representative,What are Your Career Goals?,I am passionate about customer service and see this position as a stepping stone to my long-term goal of becoming a customer service manager. I believe my skills and experience will enable me to excel in this role and make a significant contribution to the company.,Good,General,Career Goals
20,Customer Service Representative,What are your long-term career goals?,"My long-term career goals include continuing to develop my skills and knowledge in customer service, potentially moving into a leadership role, and contributing to the success of the organization in a meaningful way. I am committed to professional growth and lifelong learning.",Good,General,Career Goals
21,Customer Service Representative,How does this job fit in with your career aspirations?,"Relevant Skills Utilization: The role requires skills and experiences that I have acquired in previous positions, allowing me to apply and further develop these skills. This alignment ensures that I can contribute effectively from day one.

Career Progression: The responsibilities and challenges associated with this job align with my long-term career goals. This role presents opportunities for growth and development, allowing me to progress along a path that aligns with my aspirations.

Industry Alignment: The job is in an industry or field that I am passionate about. Being in an environment that aligns with my interests ensures that I am motivated to make meaningful contributions and stay engaged in my professional journey.

Learning Opportunities: The position offers opportunities for continuous learning and skill development. I am enthusiastic about roles that encourage personal and professional growth, and I believe this job will provide the challenges and learning experiences necessary for my advancement.

Contributing to Company Objectives: The company's mission, values, and objectives resonate with my own professional values. I see this role as an opportunity to contribute meaningfully to the organization's success while aligning with my career aspirations.",Good,General,Career Goals
22,Customer Service Representative,how do you respond when you do not know the answer to a question,it is important to be transparent with the customer but there are ways to phrase the communication to include a positive spin i like to say something like that is a great question i will find the answer for you including a time that they can expect a follow-up is always a great practice,Good,Situational,Communication Skills
23,Customer Service Representative,tell me about a time when you had to deliver bad news to a customer,i had a situation where the customers delivery was lost in transit but the order showed it was delivered the customer reached out and was angry because they were supposed to have gotten their order a few days earlier it was a personalized item so replacing it would be a challenge,Good,Situational,Communication Skills
24,Customer Service Representative,how would you handle a situation where you have to reach out to the customer about an issue without having all the information or answers,it is important to begin the interaction with an apology for not having all the information from there i would communicate all the information we do have making sure to be transparent and let them know when to expect the next update i would ask the customer if they have any questions comments or concerns and i was sure to listen carefully to their response and answer any questions the best i can,Good,Situational,Communication Skills
25,customer service representative,has there ever been a situation in which you or a past organization received a negative review or feedback from a customer how did you respond,i strive to continually improve my customer service skills and i take negative feedback very seriously,Bad,Situational,Communication Skills
26,customer service representative,give me an example of a time when you had to explain something fairly complex to a frustrated client or coworker how did you make sure they understood you,as a customer service representative for verizon i once had a customer who wanted to reduce their bill they were already on the most inexpensive plan available but they were also paying 100 monthly for financing their phones i printed a copy of their most recent bill and explained each component i also pointed out that their financing program would be paid in full in just a few months after which point their monthly payments would decrease they left satisfied and informed about their circumstances,Good,Situational,Communication Skills
27,customer service representative,tell me about a time you thought you communicated clearly but were misunderstood what happened and how did you handle the situation,when i worked in a department store i once told a customer that we were offering a 25 discount on all clothing on the clearance rack they seemed excited and headed directly for a rack of full-price sweaters i walked over and gently told them that a few sweaters qualified for the 25 discount on the clearance rack nearby when they realized the miscommunication they were glad i stepped in quickly,Good,Situational,Communication Skills
28,Customer Service Representative,Has this Ever Occurred that You are Trying to Communicate Something Which Was Later Misunderstood?,"Once a customer was making a hotel booking, and he called to know if there was any coupon code he could apply to get more discount. Upon checking, I came up with a coupon of up to 40% discount and conveyed the same to the customer. He misunderstood my message and thought it would give him a flat 40% discount. He called again and complained about not getting a 40% discount on the price. I realized that he did not understand it. So, I informed him clearly and thoroughly again.” ",Good,Situational,Communication Skills
29,Customer Service Representative,How Would You Explain Twitter to Your Grandparents?,"On Twitter, you can share your thoughts and see what others share. You must create an account using your email ID or phone number, which will be protected using a password. Once done, you can customize your profile by adding your bio, profile picture, etc. Here, you can tweet, which has certain character limits. You can also engage with others by commenting, liking, or retweeting their posts. Also, this platform has the highest hashtag usage, making a post viral and trending.” ",Average,Situational,Communication Skills
30,Customer Service Representative,Have You Ever Faced a Situation Where the Customer’s Demand was Unclear?,"No, I always try to follow the customer and guide them if they are confused. I put options for them to ensure they get exactly what they want. I ask them follow-up questions to ensure I listen to their queries and requests.”",Average,Situational,Communication Skills
31,Customer Service Representative,How would you describe your communication style?,"My communication style is clear, concise, and professional. I am able to adapt my communication style to the needs of the customer, whether they prefer a formal or informal approach.",Good,General,Communication Skills
32,Customer Service Representative,How do you ensure that your communication is effective?,"I ensure that my communication is effective by actively listening to the customer, asking clarifying questions, and confirming understanding. I also strive to use clear and concise language and avoid technical jargon.",Good,General,Communication Skills
33,Customer Service Representative,"How do you handle communication barriers, such as language differences?","When dealing with communication barriers, such as language differences, I strive to find a common language that both parties can understand. I may use translation tools or seek assistance from colleagues who are fluent in the customer’s language. I also use clear and concise language and avoid technical jargon to ensure that the customer understands the information.",Good,General,Communication Skills
34,Customer Service Representative,"What is your experience with handling communication through different channels, such as email, chat, and phone?","I am experienced in handling communication through various channels, including email, chat, and phone. I am able to adapt my communication style to the specific channel and ensure that the customer’s needs are met through each mode of communication.",Good,Situational,Communication Skills
35,Customer Service Representative,What is your experience with public speaking or presenting to groups?,"While not directly related to customer service, I have experience with public speaking and presenting to groups. I am comfortable speaking in front of others and can present information clearly and concisely.",Good,General,Communication Skills
36,Customer Service Representative,What is your experience with social media and online communication?,I am experienced with social media and online communication and can communicate effectively through these channels. I am able to adapt my communication style to the specific channel and ensure that the customer’s needs are met through each mode of communication.,Good,General,Communication Skills
37,Customer Service Representative,How would you sell me one of our products or services?,"I approach selling our products or services with a thorough understanding of the customer's needs and preferences. Building rapport is key, involving active listening and genuine interest in their requirements. I carefully highlight the unique benefits and value propositions of the offering, emphasizing how it directly addresses the customer's pain points. Demonstrating expertise, I draw on my knowledge to address concerns and showcase the product/service's capabilities. Proposing a customized solution, tailored to the customer's requirements, ensures a seamless alignment with their needs.

In selling our products or services, I begin by researching the customer's needs and prior interactions with our company. Building rapport is essential through active listening and open-ended questions. I emphasize the benefits and unique value propositions of the offering, demonstrating its relevance to the customer's specific pain points. With expertise in the product/service, I address concerns and showcase capabilities. Proposing a customized solution, I tailor options to the customer's requirements for a seamless fit.

My approach to selling our products or services involves thorough research on the customer's needs. Building rapport is foundational, employing active listening and a genuine interest in their requirements. I emphasize the benefits and unique value propositions of the offering, directly connecting them to the customer's pain points. Demonstrating expertise, I address concerns and showcase the product/service's capabilities. Proposing a customized solution tailored to the customer's requirements ensures a solution that seamlessly aligns with their needs.

When selling our products or services, I prioritize understanding the customer's needs and preferences. Building rapport is crucial, incorporating active listening and a genuine interest in their requirements. I highlight the benefits and unique value propositions of the offering, directly tying them to the customer's specific pain points. Demonstrating expertise, I address concerns and showcase the product/service's capabilities. Proposing a customized solution, tailored to the customer's requirements, ensures a solution that seamlessly aligns with their needs.

In the sales process for our products or services, I begin with thorough research on the customer's needs and preferences. Building rapport is key, involving active listening and genuine interest in their requirements. I carefully highlight the benefits and unique value propositions of the offering, emphasizing its direct relevance to the customer's pain points. Demonstrating expertise, I address concerns and showcase the product/service's capabilities. Proposing a customized solution, tailored to the customer's requirements, ensures a seamless alignment with their needs.",Good,General,Communication Skills
38,Customer Service Representative,"What communication methods do you think are the most important when undertaking customer service, and why?","I would say that listening is one of the most important things when it comes to communicating with customers. You can speak clearly and eloquently, but if you don’t also listen to what a customer is saying you will still find that situations won’t always have the outcomes that they should. By making sure to really listen to others, you can identify the root cause of an issue and often it will help you to find the solutions which really work.",Good,Role Specific,Communication Skills
39,Customer Service Representative,Why are You Interested in This Company?,"I think I can use my skills better in this company. With new people and minds, it will be exciting for me to manage them and create a team of efficient employees. Also, as checked, your service is the best in the market, and working with such a reputed company would be great.”",Average,Introduction,Company Research
40,Customer Service Representative,What made you want to apply to this position and our company?,"I was drawn to this position because of the strong emphasis your company places on delivering exceptional customer service. Your commitment to customer satisfaction aligns with my own values, and I am excited about the opportunity to contribute to a team that prioritizes the customer experience.

Your company's reputation for innovation and commitment to providing outstanding customer service is what initially caught my attention. After researching more about your values and achievements, I became even more enthusiastic about the prospect of joining a team that shares my passion for excellence in customer interactions.

I applied to this position because I was impressed by your company's commitment to fostering a positive work environment and delivering top-tier service to your customers. I believe my skills and experience align well with the values of your organization, and I am eager to contribute to the continued success of your team.

The company's focus on continuous improvement and its dedication to creating meaningful customer experiences are what attracted me to this position. I am excited about the opportunity to contribute to a company that values innovation and is dedicated to maintaining high standards in customer service.

I applied to this position because I believe in the mission and vision of your company. The emphasis on quality service, combined with the collaborative and dynamic work culture you promote, aligns with my career goals. I am enthusiastic about the chance to contribute to the success of your team and grow with the company.",Good,Introduction,Company Research
41,Customer Service Representative,What do you know about our products or services?,"I have thoroughly researched your company's products and services and am impressed by the innovative solutions you offer. Your commitment to delivering high-quality products aligns with my values, and I am eager to contribute my skills to support the success of these offerings.

I am familiar with your company's diverse range of products and services, having followed your recent developments and customer reviews. Your reputation for providing cutting-edge solutions in the industry has captured my interest, and I am excited about the prospect of contributing to the success of these offerings.

I have taken the time to learn about your company's products and services, and I am particularly excited about [specific product or service]. The positive feedback from customers and the company's dedication to continuous improvement resonate with me, and I am enthusiastic about the opportunity to contribute to the success of your offerings.

I have researched your products and services extensively and am impressed by the level of innovation and quality your company consistently delivers. Your commitment to meeting customer needs aligns with my customer-centric approach, and I look forward to leveraging my skills to contribute to the continued success of your product line.

I am well-acquainted with your company's products and services, having followed your market presence and recent achievements. I am particularly excited about the unique features of [specific product or service], and I believe my skills and experience make me well-suited to contribute to the success of your offerings.",Good,Introduction,Company Research
42,Customer Service Representative,What do you know about this company?,"I discovered your company three years ago when I switched insurance providers, and the positive experience, both in terms of cost and personalized support, left a lasting impression. Since then, I've been following your company on social media, appreciating the genuine effort put into building relationships with customers. This emphasis on personal connection is crucial in today's business landscape, and it's what initially attracted me to your company as both a service provider and a potential employer.",Good,Introduction,Company Research
43,Customer Service Representative,what do you know about our company or product,i learned from visiting your website that you have a mantra of always be helpful which you clearly demonstrate with features like the chat widget on your website and how easy it was to find your faq page,Average,Introduction,Company Research
44,Customer Service Representative,why do you want to work here,your company has great reviews on glassdoor with current and former employees both raving about the positive work environment great company culture investment in employee growth and prioritization of mental health,Average,Introduction,Company Research
45,customer service representative,what do you think of our product or service,i find apple products to be innovative user-centric and designed with great attention to detail i admire the seamless integration across devices and the companys commitment to advancing technology like face id and m1 chips as a potential customer service representative i am eager to contribute to apples approach to customer satisfaction encompassing both product development and after-sales support,Good,Introduction,Company Research
46,customer service representative,why do you want to work in customer service at this organisation,i have been a loyal customer of eagleson and chase department store for five years now and i have had a positive shopping experience every time i have visited the store i will always remember my first visit to this store because of the superior customer service i received the cashier was incredibly friendly and made me feel like a member of the community rather than just a paying customer when i got the car i realised that one of my home appliance items rang up at the incorrect price due to a misplaced price tag,Good,Introduction,Company Research
47,customer service representative,what do you think of this companys products or services,as someone who exercises every day finding workout clothes that are supportive and long-lasting is really important to me i love that the products this company makes are all well-designed and built to last through hundreds of uses i own many pieces from this brand and i know i can represent their quality well to customers,Good,Introduction,Company Research
48,customer service representative,why do you want to work here,i always buy my personal care products from your company they are not only great for sensitive skin but are also at great prices i have also spoken to your customer service to provide feedback about some products and i always receive a response even during the holidays it excites me to work with a team that shows such dedication and enthusiasm to help others,Good,Introduction,Company Research
49,customer service representative,what do you think of our companys products and services,i exercise every day so rely on workout clothes that are both supportive and long-lasting i find this companys range to be both affordable and well-designed and i already own several pieces,Average,Introduction,Company Research
50,customer service representative,what do you know about our product service or company,i know your company deals in cell phone manufacturing i have been your customer for years and i prefer using the jupiter j 7 series which offers many features within an affordable budget,Average,Introduction,Company Research
52,customer service representative,how well do you know our company and product,i have been using your shoe polish for years i have tried other brands but found none that offer an excellent match of quality and great price i also love the fact that your company pays attention to the needs of a customer like me when designing your products,Good,Introduction,Company Research
53,Customer Service Representative,what questions do you have for us,what do you like about working for this company,Good,Conclusion,Conclusion
54,Customer Service Representative,Do you have any concerns or questions about the role or our organization that I can address?,"Thank you for the opportunity to learn more about this role and your organization. As I've learned more about the responsibilities and expectations for this Customer Service Representative position, I'm quite excited about the potential to contribute to your team.

However, I do have a couple of questions to ensure I have a comprehensive understanding. Firstly, I'd love to know more about the team dynamics and the collaborative environment within the customer service department. Understanding how teamwork contributes to success in this role is important to me.

Secondly, I'm curious about the tools and resources available to provide excellent support to customers. Could you elaborate on the specific software or systems commonly used here? This will help me understand how to best leverage these tools to ensure top-notch service delivery.",Good,Conclusion,Conclusion
55,Customer Service Representative,What strategies do you use to ensure customer satisfaction?,"I believe that customer satisfaction is the key to any successful business, so I always strive to create a positive and efficient experience for customers. In my current role as customer service supervisor, I have implemented several strategies to ensure customer satisfaction. These include setting clear expectations with customers upfront, providing timely and accurate responses, following up after their issue has been resolved, offering personalized services when possible, and using data and analytics to track customer satisfaction levels. Additionally, I’ve implemented initiatives such as regular team meetings to discuss customer feedback and identify areas of improvement. By taking these steps, we’ve seen an increase in customer satisfaction ratings over the past year.",Good,Role Specific,Customer satisfaction
56,Customer Service Representative,Describe a time when you provided high-quality customer service.,"A customer recently contacted our center saying that his package didn’t arrive and he didn’t get a confirmation number for his order. This was an issue because, without a confirmation number, the tracking of his order was not available. I asked him for his details and tried to locate the package, but it was difficult to do without the order number. I contacted my manager to find out if I can find his order by any other means than the number, and my manager said it was possible, but it would take time. I spent 20 minutes on the phone with this client chatting to him about his day and his plans for the weekend while I was going through our system to find his package. I was able to find his order and provided him with the information about its date of planned delivery. I also gave him the confirmation number if he wanted to keep track of it. Even though this interaction was prolonged, the customer was happy with the results and the fact that they didn’t need to contact multiple people to solve his issue. The company got a five-star review saying he will keep doing business with us.",Good,Situational,Customer Satisfaction
57,Customer Service Representative,How would you improve the experience of dissatisfied customers?,"In my previous job, I learned that customer wants the company to listen to them and show that we care about and value their opinions. For example, one of my previous customers ordered a headset, and one side was not working upon arrival. He was very upset, but we offered a replacement at a discount. The customer was happy with a replacement and left a positive comment on our product page.",Good,Role Specific,Customer Satisfaction
58,Customer Service Representative,Tell Us About a Time You Went the Extra Mile for a Customer,"In my last job I worked for a SaaS company that provides software for remote collaboration. I had a customer call who wasn’t used to working remotely and was struggling to understand the basics. I talked them through what they needed to know to get on with their day, but it was clear this was going to be an issue for them moving forward. When this happens, I keep a log, so I’m prepared to handle questions if they crop up again. This also helps me support my coworkers should they ever encounter the same problem. After the call, I realized there was more I could do, so I contacted them and asked if they’d be interested in a virtual training session. They took me up on the offer, so I set to work writing a training plan specifically for their needs.",Good,Role Specific,Customer satisfaction
59,Customer Service Representative,How Do You Measure a Successful Customer Service Experience?,"Customer service encompasses so many things that success can be hard to quantify. 
On a personal level, it’s knowing I’ve connected with everyone I’ve had an interaction with. 

In a business context, I’d measure success through reputation and revenue. If I’m doing my job well, both should increase. We should be seeing good reviews, more repeat sales, more referrals and of course, more turnover. 

It’s important for me to understand the data relating to this. It’s the only way I can truly measure the success of my efforts.",Good,Role Specific,Customer Satisfaction
60,Customer Service Representative,tell me about a time you took ownership of something for a customer and reduced their effort to reach a resolutionwhat was the result,at my last job in healthcare insurance support i had a customer who needed to refill her prescription she had recently switched to a mail-order service and did not know how to initiate the refill request or who to contact and was completely lost i looked up the mail-order pharmacy she used and looped in their csr on a three-way call we got her refill processed and set it up to automatically refill every three months so she wouldnt have to worry,Good,Situational,Customer Satisfaction 
61,Customer Service Representative,tell me about a time when you received poor customer service what would you have done better,a product i ordered was broken when i opened the box i called their customer service team and the rep was unapologetic and acted indifferent to my situation he rushed through the call and simply offered a refund,Good,Situational,Customer Satisfaction 
62,Customer Service Representative,tell me about a time when you went above and beyond for a customer,i once worked in customer service at a hotel chain in columbus oh a customer checked in on a business trip and had never been to ohio before she asked if there were any vegan and gluten-free restaurants in the area i was not sure but told her i would find out,Average,Situational,Customer Satisfaction 
63,customer service representative,has there ever been a time in which youve experienced bad customer service what would you have done to improve it,at one occasion a customer service agent failed to apologize after keeping me on hold for 45 minutes and transferred my call to different departments twice,Average,Role Specific,Customer Satisfaction 
64,customer service representative,can you describe an example of a situation where you provided exceptional customer service,on one occasion a customer wanted to return a product because it was faulty i handled the situation by apologizing and offering them the option of a full refund or a replacement product as per our stores policy i showed empathy from the very beginning and the customer accepted the full refund they were satisfied with the outcome and a few days later returned to make another purchase,Good,Situational,Customer Satisfaction 
65,customer service representative,how does our organization offer top customer service,i noticed in your job description that your organization has a briefing session every week for customer sales reps to help your staff refresh their knowledge of your products,Average,General,Customer Satisfaction 
66,customer service representative,how would you define customer delight,customer delight enables you to enhance customer loyalty and retention but it actually goes beyond these points loyal customers can become your brand ambassadors if you offer them a truly rewarding experience,Good,Role Specific,Customer Satisfaction 
67,customer service representative,can you describe a time when you delivered excellent customer service what was the impact of your interaction with the customer,i had the responsibility of checking whether other retailers in different zip codes had specific products in stock that customers were looking for and that we did not have at the moment on one occasion a customer was very disappointed that the perfect sweater was not in stock i showed empathy and asked if she wouldnt mind waiting for a few minutes while i checked other stores,Good,Situational,Customer Satisfaction 
68,Customer Service Representative,can you share an example of a company where you really liked the customer care service of a company,i bought an electronic from an online e-store and was very impressed by the customer care service the customer service department not only helped me buy the right product but also assisted me with the technicalities the team also provided good support when i faced some technical issues during the installation of the product they were prompt and helpful and this has made me a loyal customer of the brand,Good,Situational,Customer Satisfaction 
69,customer service representative,describe a time when you provided or observed high-quality customer service,i will never forget the time i visited a family-owned hotel in tampa florida the owner was struggling to get it off the ground but he always went the extra mile like when he personally gave my family a complimentary breakfast on the beach it is been ten years since i visited but i will never forget it,Good,Situational,Customer Satisfaction 
70,customer service representative,tell me about a time you went above and beyond what was expected to please a customer,i worked in the dress department of a macys and a young teenager came in searching for a prom dress i asked about her budget and selected dresses i knew would highlight her best features once she found a dress she liked i even helped her accentuate it with jewelry she was so satisfied that she came back the next day with three friends that also needed help,Good,Situational,Customer Satisfaction 
71,customer service representative,when youre working with a large number of customers it is tricky to deliver excellent service to all how do you go about prioritizing customers needs,i try to be fair and treat our customers equally of course if there is a large client that is crucial to our business i am going to make sure they are well taken care of but i want every customer to feel like they are important to us in any situation or challenge i maintain excellent communication i am not always able to handle every customer request the instant it comes in but i respond and give a timeframe for how soon i can handle it i show that i understand their concern and that i am working on taking action to resolve it this goes a long way to keeping customers happy one more thing i do in my response is invite them to follow up if they have any further concerns or need an update that way they feel comfortable checking in and are not left waiting anxiously without an answer,Good,Situational,Customer Satisfaction 
72,customer service representative,tell me about a time a customer was pleased with your service,i worked with a difficult customer to resolve a few issues they were having with their internet service i stayed patient and took the time to fully understand the issue and then came back to them promptly with a solution they had spoken to a few other customer service representatives in the past who did not take the time to address the whole issue so the problem kept occurring after the issue was fixed the company went out of the way to tell my manager how satisfied they were with the service i gave them later that year they signed a contract to expand our service into three more of their office locations for a total of 70000 in revenue for our company,Good,Situational,Customer Satisfaction 
73,customer service representative,describe a time when it was especially important to make a good impression on a client how did you approach things,i had been working as an account manager for two years in my previous company when the person who managed our largest account resigned the account was given to me the client had a lot of special requests that i needed to learn about i spent time reviewing the previous notes in the account and i scheduled a call to get acquainted with our contact in the company to introduce myself i was attentive and set expectations for what i would deliver and was able to keep the client very happy they actually gave us 20 more business later that year,Good,Situational,Customer Satisfaction 
74,customer service representative,give us an example of a time you received good customer service what can you learn from that instance as a csr,i learned how patience accompanied by polite language can go a long way in dealing with agitated customers the agent who helped me did not lose hisher calm and professionalism even once,Average,Situational,Customer Satisfaction 
75,customer service representative,how do you improve an unsatisfactory customer experience,to improve a customers unsatisfactory experience i would actively listen and take note of their main concerns for example i was once helping a customer who was upset about a late refund i did my best to understand and acknowledge the situation i then put in a request to refund their purchase and award them a complimentary gift voucher,Good,Role Specific,Customer Satisfaction 
76,customer service representative,tell us about a time where you went beyond your role to help a customer,i once had a customer at our hotel whose child had lost a toy despite a thorough search we were unable to find it i reached out to the customer to request a picture of the toy i found and bought a replica at a nearby toy shop and gave it to the customers child with a little handwritten note the customer was very grateful for the thoughtful gesture and has been a regular at our hotel ever since,Good,Situational,Customer Satisfaction 
